Number;Date;UID;Desc
1346291;01.01.2023 2:10;e87b2cfa-6159-4aa2-b789-3974a01e0b0a;Застряли в лифте
1346306;01.01.2023 11:44;4593c91a-8b75-46e4-83e5-557d730abea0;Течь кровли (забита ливневка)
1346324;2023-01-01 13:50:46.028;1ab8b15e-b18c-4ce0-80dc-da40a029289e;Течь кровли в коридоре квартиры ручьем.
1346326;01.01.2023 14:04;1ab8b15e-b18c-4ce0-80dc-da40a029289e;Течь кровли в коридоре квартиры ручьем.Составить акт.
1346330;2023-01-01 14:47:18.090;1ab8b15e-b18c-4ce0-80dc-da40a029289e;Заделать  щели в стыках крыши над 33 и 34 квартирами, топит их в коридоре.
1346332;01.01.2023 15:19;98ad88a0-2265-4075-a2e4-11883e6bbb90;Не работает лифт 
1346336;01.01.2023 15:43;a54e7f41-3fcb-4ce3-8dc8-835a2beda17e;Нет э/снабжения в квартире, автоматы включены.
1346337;01.01.2023 15:45;9d90869f-de9e-44f4-b730-60796338be02;Замкнуло в выключателе подъездного освещения на 1 этаже, пропало э/снабжение в квартире
1346340;2023-01-01 16:17:51.073;a4b0fada-c9b5-4822-bc5e-5eb22a471293;Убрать заглушку на ХВС и установить отсечной вентиль на стояке ХВС в квартире, все купят.
1346341;01.01.2023 16:55;9d90869f-de9e-44f4-b730-60796338be02;Нет э/снабжения в 3, 10 ,15 ... веером.
1346347;01.01.2023 18:23;9a8281e2-ecf7-443b-9a08-dcdaed21347d;Чуть теплые батареи в квартире, холодно
1346353;01.01.2023 21:33;9a8281e2-ecf7-443b-9a08-dcdaed21347d;Х/Б
1346363;01.01.2023 22:24;25eb093d-1e04-412f-a3be-f328f871685a;Выбило электричество в квартире.
1346370;02.01.2023 7:13;c95224b8-1fa8-4d95-9d8c-eb559dfea17a;Вырвали доводчик на входной двери в подъезд.
1346371;02.01.2023 7:14;c95224b8-1fa8-4d95-9d8c-eb559dfea17a;Гололед, обработать дорогу придомовой территории.
1346373;02.01.2023 8:00;b7ea6475-35ae-4244-8dd7-26ff473b950e;Не работает интернет и кабельное ТВ, проверить автоматы в эл.щитовой.
1346385;02.01.2023 9:19;3305e947-6dbe-43ed-9e6e-c357f4c93b45;Не работает лифт в 1 подъезде
1346387;02.01.2023 9:31;98ad88a0-2265-4075-a2e4-11883e6bbb90;Не работает лифт 
1346390;02.01.2023 9:57;d076631a-c8c7-46cc-ba78-a7d60f2a8cf4;Механизированная уборка придомовой территории.
1346396;2023-01-02 10:12:30.031;9a8281e2-ecf7-443b-9a08-dcdaed21347d;Чуть теплые батареи ЦО , включить насос
1346399;02.01.2023 10:29;a3b02e79-7d70-423f-b318-5d1516f2a9a2;Течь с кровли на л\площадке  в 3 подъезде
1346400;02.01.2023 10:31;a4b0fada-c9b5-4822-bc5e-5eb22a471293;Опломбировать счетчик ХВС после замены вентиля, вынужденный срыв пломбы
1346401;02.01.2023 10:32;933e7cdc-f44a-4145-9401-86f74580af56;Течь с кровли на л\площадке 5 этажав 1 подъезде, где интернет -кабели
1346404;2023-01-02 10:40:46.074;03abb360-5ab5-45e0-a4a0-a76ed8910fc2;Мехуборка придомовой территории
1346407;02.01.2023 10:49;d66b23d1-04ca-490d-ad27-ae11032c53ed;Течь с кровли  с потолка ванной комнаты
1346408;02.01.2023 10:50;9c60bf12-7800-453d-93c5-0d17aa987f0e;Течь с кровли на балкон со стыка крыши балкона
