Number;Date;UID;Desc;Group;Cat
1197646;2022-04-04 10:27:06.000;f57cf6c8-0dbd-48c0-991e-2087897e2d8d;Выдача инвентаря;Управление домом;Благоустройство
1197758;04.04.2022 14:00;e8529648-511e-4e1d-a46b-d9f3379c5246;Демонтировать лавку за домом возле магазина ;Управление домом;Благоустройство
1201781;15.04.2022 16:28;ea25fc8c-bcae-44e4-a669-8c57a32f5351;Спилить тополь( от дороги  6-ой);Управление домом;Благоустройство
1202034;2022-04-17 16:22:33.057;b13bba64-2e2c-4b47-91c1-5a741088977c;Вывезти мешки с листвой,с обратной стороны дома;Управление домом;Благоустройство
1204079;22.04.2022 11:26;a83be036-6c68-4194-bf59-90394faf98d5;Закрепить качели, убрать строит. мусор. Установить детск. площадку, восстановить песочницу, вернуть лавочки на прежнее место.;Управление домом;Благоустройство
1205080;26.04.2022 8:03;1180c488-99f9-4264-b8a8-71b8e014bd09;Убрать спиленные ветки и мешки с мусором;Управление домом;Благоустройство
1205185;26.04.2022 10:12;dd6bf57a-d686-4514-acbc-a7b4ca44130d;Забетонировать площадку перед входом во 2-й подъезд- все раскрошилось.;Управление домом;Благоустройство
1206206;2022-04-28 14:44:16.069;a53e9abd-f4f3-48e4-8cab-c7bf2c7b94f1;Ремонт сушилок для белья во дворе ;Управление домом;Благоустройство
1208286;06.05.2022 13:21;e927dd16-bc7e-4377-aba9-2fa9ba983fe0;Ремонт забора возле дома ;Управление домом;Благоустройство
1214175;12.05.2022 8:02;c1c6e9fb-cbac-4cf1-bddb-97679da9fd35;Закрепить песочницу на детск. площадке;Управление домом;Благоустройство
1215788;13.05.2022 9:37;265f23bf-6b35-4e25-a7ec-2481799fc81e;Изготовить и установить поручни  в 3 и 4 подъездах;Управление домом;Благоустройство
1233028;16.05.2022 12:15;caf247f7-3e79-4c7f-8641-9ebdd3dce10a;Приварить руль к карусели( руль у ст. по дому);Управление домом;Благоустройство
1235546;17.05.2022 8:35;acab0a0b-ecfb-44db-9527-1b16e289ebc3;Заделать яму возле 1-го подъезда;Управление домом;Благоустройство
1235727;17.05.2022 15:47;89012e59-67cf-4080-91c4-27bccd8f0389;Смазать качели на детск. площадке;Управление домом;Благоустройство
1254542;22.05.2022 14:18;672887d7-0883-4f0b-8cc1-b2cd24a85ada;засыпать и утрамбовать яму после рем.раб. Водоканала ;Управление домом;Благоустройство
1255526;25.05.2022 14:17;60b801ae-cfaa-43e8-8d91-91bdb3b216a4;Установить информ. стенды около каждого подъезда;Управление домом;Благоустройство
1255731;25.05.2022 15:36;8824571e-c53b-4c21-a027-9b48ae1ed697;Спилить тополь( авар.дерево )около 1-го подъезда;Управление домом;Благоустройство
1260987;03.06.2022 8:39;5f9bdc65-c045-46d2-b987-f4d0f4789c0a;Покрасить дорожные препятствия (полу сферы) у 6 подъезд ;Управление домом;Благоустройство
1261054;03.06.2022 10:17;7fb5d44b-ddc9-4667-a0ea-4ab8ebc5c1dd;Установить турникет для выбивания ковров ;Управление домом;Благоустройство
1261094;03.06.2022 11:54;a7b47294-1158-461b-aed6-2dc403565b44;Закрепить дет. песочницу. Заменить деревянный брусок на турнике.;Управление домом;Благоустройство
1261145;03.06.2022 15:21;aa990feb-beea-4806-8b13-551f975092ee;Покос травы при выезде на ул Мостовую ;Управление домом;Благоустройство
1261767;06.06.2022 14:06;b2f62e5c-9b07-4114-8df5-426fd6d8586c;Спилить дерево около дома. Между 2 и 3 подъездами.;Управление домом;Благоустройство
1261901;07.06.2022 7:51;ad97b8ee-4aa8-4293-a820-2249bf190ca8;Покрасить лавки 1,2,3,подъ. покрасить входные двери ;Управление домом;Благоустройство
1261928;07.06.2022 8:55;912e1eb0-dbb4-4a24-a459-7a7a8b00a509;Спилить аварийную березу во дворе ;Управление домом;Благоустройство
1271108;21.06.2022 22:11;e1a3df06-b612-4d93-996e-0a1a5dcae030;Произвести покос прид.террит.с обратной стороны дома;Управление домом;Благоустройство
1271711;23.06.2022 15:54;5b5d0f68-23fa-4b4e-beb8-1bf1c679e4ea;Ремонт скамейки на дет.площадке ;Управление домом;Благоустройство
1272328;27.06.2022 10:37;d5378a17-40ad-48b8-83e7-691b3b940727;Покос травы ;Управление домом;Благоустройство
1272354;27.06.2022 11:59;e1d11217-3871-40de-b93d-81151f0633cb;Покос травы ;Управление домом;Благоустройство
1272426;27.06.2022 15:17;933e7cdc-f44a-4145-9401-86f74580af56;Обрезка кустов и деревьев ;Управление домом;Благоустройство
1272661;2022-06-28 15:28:50.000;2a29c396-49b2-4bce-b578-0863f8b1992f;Обрезка кустов;Управление домом;Благоустройство
1273600;01.07.2022 15:04;b13bba64-2e2c-4b47-91c1-5a741088977c;Покраска стоянки для велосипедов, урны, оградки. под окнами 1 подъезда со стороны  улицы ;Управление домом;Благоустройство
1274288;05.07.2022 7:59;a7b47294-1158-461b-aed6-2dc403565b44;Восстановить  третий деревянный брусок на лежачем турнике ;Управление домом;Благоустройство
1274533;05.07.2022 16:40;0da15dd9-405f-4e8c-9fd1-d61515d42cb8;Распилить  и вывести сухие бревна и ветки со стороны 2 подъезда ;Управление домом;Благоустройство
1274860;06.07.2022 21:22;e1c09149-637f-41db-a88e-2e57ee423b97;Вывести спиленные ветки с дет, площадки ;Управление домом;Благоустройство
1277329;13.07.2022 16:31;7ae04fa5-9d52-42dd-9bb6-7f45ec059654;Покос травы на детс. площадке по адресу Менделеева 37, и 37а;Управление домом;Благоустройство
1277345;2022-07-13 17:37:55.040;b13bba64-2e2c-4b47-91c1-5a741088977c;Покрасить урны, велосипедную стоянку перед домом;Управление домом;Благоустройство
1287681;10.08.2022 20:49;9579d8c8-5ec1-4fd8-a060-fd12105fbe47;Закрепить сиденья на кораблике( на детск. площадке);Управление домом;Благоустройство
1288647;13.08.2022 12:59;eebac655-b830-4e48-b7c0-f86d9a494ba3;"На детск. площадке оборвалось крепление на  спорт. снаряде"" Паутинка"" со стороны ж/д";Управление домом;Благоустройство
1291138;22.08.2022 8:18;c224e369-a729-43e8-a27d-a08d9349a9ce;Покос травы ;Управление домом;Благоустройство
1291281;22.08.2022 11:06;2810e0e8-0d12-439b-8714-e9fb231d3678;Ремонт лавки на дет. площадке ;Управление домом;Благоустройство
1291530;22.08.2022 16:56;0da15dd9-405f-4e8c-9fd1-d61515d42cb8;Покрасить входные двери в 1и 2 подъезде ;Управление домом;Благоустройство
