house_uuid;type
bf314838-4a6b-47cd-8e24-8d4c155a8a98;2
0b8716e2-39d2-4444-bfd5-2b3387948cc2;2
272a5603-612d-4d99-8793-f559b8419299;2
b0494382-df75-4a11-96dc-34f2e8ea2f9a;2
d15f48b4-0172-419c-84a3-a1177e3a98a2;2
1b652c24-40f4-4e1b-ac10-ea46bec8686f;2
3a68a6e9-78e2-43c7-b8ca-b7a1ac71b793;2
94187a36-8c14-4d70-9e91-d14f24ecbb77;2
e719e4cf-0fec-43ff-90bb-d0ecef95ac80;2
5e2c28ed-2410-4b23-a2ae-399215921243;2
e43723d1-c76e-4b5c-9075-1c8aeabc97f8;1
3f4522f1-1222-4e43-b067-b2e67b0860c9;1
b7509e1d-275b-4338-ba80-fe695e7d3a52;2
bcfe6ee6-e046-42f0-8d3e-00694f551f13;1
fd664f2f-3bf0-4ac1-955b-c238f8e86895;1
c9ee4860-b525-4fbb-81fb-fd1d8e0374c4;1
